location,landmark,state,country,lon_location,lat_location,type,ratings,total_reviews
Tranquil Haven,Empire State Building,New York,USA,-94.731463,30.886758,hotel,3.5,4643
Golden Lodge,Empire State Building,New York,USA,-94.732712,30.885463,hotel,3.7,976
Diamond Palace,Empire State Building,New York,USA,-94.73094,30.883431,hotel,3.8,2908
Silver Haven,Empire State Building,New York,USA,-94.733095,30.885346,hotel,4.2,516
Silver Hotel,Empire State Building,New York,USA,-94.73354,30.884503,hotel,3.5,1171
Prestige Retreat,Empire State Building,New York,USA,-94.731361,30.883857,hotel,4.3,3603
Heritage Residences,Empire State Building,New York,USA,-94.731666,30.883257,hotel,3.7,395
Golden Plaza,Empire State Building,New York,USA,-94.730571,30.885139,hotel,3.7,2625
Royal Residences,Empire State Building,New York,USA,-94.732451,30.886541,hotel,4.0,2144
Velvet Residences,Empire State Building,New York,USA,-94.731242,30.884224,hotel,4.8,1366
Classic Diner,Empire State Building,New York,USA,-94.730206,30.883756,restaurant,4.9,151
Green Tavern,Empire State Building,New York,USA,-94.733192,30.886507,restaurant,4.1,2922
Modern Tavern,Empire State Building,New York,USA,-94.733477,30.886298,restaurant,4.0,1935
Hidden Tavern,Empire State Building,New York,USA,-94.732511,30.886091,restaurant,3.8,841
Golden Kitchen,Empire State Building,New York,USA,-94.732316,30.883924,restaurant,4.2,2136
Vibrant Oven,Empire State Building,New York,USA,-94.732311,30.886734,restaurant,4.9,522
Crispy Kitchen,Empire State Building,New York,USA,-94.730401,30.883854,restaurant,3.8,2493
Little Room,Empire State Building,New York,USA,-94.732171,30.885723,restaurant,4.5,2144
Urban Kitchen,Empire State Building,New York,USA,-94.733447,30.886407,restaurant,3.9,1836
Vibrant Grill,Empire State Building,New York,USA,-94.733903,30.886511,restaurant,4.2,336
Mellow Oven,Empire State Building,New York,USA,-94.730114,30.886492,restaurant,4.6,560
Gourmet Room,Empire State Building,New York,USA,-94.73103,30.88401,restaurant,4.2,2905
Times Square,Times Square,New York,USA,-93.58655,28.909323,place,4.7,208781
Solar Palace,Times Square,New York,USA,-93.585841,28.910935,hotel,4.0,4588
Crystal Plaza,Times Square,New York,USA,-93.585216,28.908539,hotel,4.7,2739
Crystal Haven,Times Square,New York,USA,-93.58669,28.909092,hotel,4.2,1490
Aurora Spa,Times Square,New York,USA,-93.585915,28.908458,hotel,4.4,865
Aurora Lodge,Times Square,New York,USA,-93.585277,28.910328,hotel,3.8,1731
Oasis Palace,Times Square,New York,USA,-93.587961,28.907508,hotel,4.8,696
Lunar Suites,Times Square,New York,USA,-93.586729,28.910868,hotel,4.6,3245
Tranquil Manor,Times Square,New York,USA,-93.586573,28.908299,hotel,3.5,973
Heritage Haven,Times Square,New York,USA,-93.585437,28.908199,hotel,4.2,4666
Pinnacle Inn,Times Square,New York,USA,-93.587554,28.910717,hotel,4.7,4451
Pinnacle Palace,Times Square,New York,USA,-93.584599,28.909705,hotel,4.7,4235
Pinnacle Residences,Times Square,New York,USA,-93.586843,28.910951,hotel,3.7,3988
Prime Kitchen,Times Square,New York,USA,-93.58675,28.91033,restaurant,4.7,2185
Vintage Plate,Times Square,New York,USA,-93.586612,28.90828,restaurant,4.7,1010
Vibrant Plate,Times Square,New York,USA,-93.587464,28.908602,restaurant,4.0,997
Urban Plate,Times Square,New York,USA,-93.587018,28.907935,restaurant,4.3,1405
Urban Room,Times Square,New York,USA,-93.58638,28.908986,restaurant,4.3,2442
Crispy Table,Times Square,New York,USA,-93.584766,28.907401,restaurant,4.4,1490
Green Brasserie,Times Square,New York,USA,-93.587356,28.908883,restaurant,4.7,2286
Modern Tavern,Times Square,New York,USA,-93.585351,28.910915,restaurant,4.1,2039
Signature Table,Times Square,New York,USA,-93.588434,28.908668,restaurant,4.7,1964
Vibrant Spoon,Times Square,New York,USA,-93.584872,28.911246,restaurant,4.9,2474
Prime Room,Times Square,New York,USA,-93.586293,28.907432,restaurant,4.0,1941
Little Grill,Times Square,New York,USA,-93.587823,28.908364,restaurant,4.3,1432
Brooklyn Bridge,Brooklyn Bridge,New York,USA,-91.724252,29.916677,place,4.9,446167
Oasis Hotel,Brooklyn Bridge,New York,USA,-91.724566,29.918017,hotel,4.6,526
Tranquil Resort,Brooklyn Bridge,New York,USA,-91.722253,29.916077,hotel,4.7,429
Crystal Villa,Brooklyn Bridge,New York,USA,-91.723235,29.918475,hotel,3.5,1348
Ocean Palace,Brooklyn Bridge,New York,USA,-91.725298,29.916571,hotel,4.9,3909
Majestic Palace,Brooklyn Bridge,New York,USA,-91.723455,29.917745,hotel,4.4,1038
Diamond Resort,Brooklyn Bridge,New York,USA,-91.723141,29.915332,hotel,4.4,2655
Crest Plaza,Brooklyn Bridge,New York,USA,-91.723949,29.918309,hotel,4.9,1724
Tranquil Suites,Brooklyn Bridge,New York,USA,-91.725948,29.917439,hotel,3.7,2570
Ocean Chateau,Brooklyn Bridge,New York,USA,-91.722851,29.917079,hotel,5.0,436
Sapphire Resort,Brooklyn Bridge,New York,USA,-91.724864,29.91639,hotel,4.3,2895
Oasis Resort,Brooklyn Bridge,New York,USA,-91.726202,29.916357,hotel,4.2,3067
Heritage Inn,Brooklyn Bridge,New York,USA,-91.72371,29.917992,hotel,4.2,4374
Vibrant Lounge,Brooklyn Bridge,New York,USA,-91.72239,29.915757,restaurant,4.4,2476
Golden Kitchen,Brooklyn Bridge,New York,USA,-91.725179,29.918084,restaurant,4.9,1048
Signature Table,Brooklyn Bridge,New York,USA,-91.72325,29.916956,restaurant,4.2,2074
Urban Bite,Brooklyn Bridge,New York,USA,-91.722849,29.915404,restaurant,4.8,1444
Bella Brasserie,Brooklyn Bridge,New York,USA,-91.725134,29.917062,restaurant,3.8,832
Modern Brasserie,Brooklyn Bridge,New York,USA,-91.72591,29.917557,restaurant,4.7,2878
Vintage Spoon,Brooklyn Bridge,New York,USA,-91.724348,29.917524,restaurant,3.9,957
Signature Steakhouse,Brooklyn Bridge,New York,USA,-91.724635,29.91565,restaurant,4.2,2317
Vibrant Oven,Brooklyn Bridge,New York,USA,-91.724129,29.916379,restaurant,4.2,1908
Spicy Grill,Brooklyn Bridge,New York,USA,-91.725169,29.915683,restaurant,4.2,2244
Urban Grill,Brooklyn Bridge,New York,USA,-91.722449,29.917438,restaurant,4.7,1182
Cozy Cantina,Brooklyn Bridge,New York,USA,-91.723354,29.918583,restaurant,4.1,461
The Metropolitan Museum of Art,The Metropolitan Museum of Art,New York,USA,-91.438658,29.585158,place,4.7,168475
Silver Hotel,The Metropolitan Museum of Art,New York,USA,-91.440601,29.585294,hotel,5.0,4633
Tranquil Villa,The Metropolitan Museum of Art,New York,USA,-91.439489,29.586934,hotel,4.6,940
Oasis Retreat,The Metropolitan Museum of Art,New York,USA,-91.437167,29.585454,hotel,4.2,1610
Oasis Resort,The Metropolitan Museum of Art,New York,USA,-91.436796,29.584168,hotel,4.7,3382
Aurora Hotel,The Metropolitan Museum of Art,New York,USA,-91.438691,29.585466,hotel,3.7,4710
Emerald Resort,The Metropolitan Museum of Art,New York,USA,-91.436861,29.583499,hotel,4.3,3509
Emerald Chateau,The Metropolitan Museum of Art,New York,USA,-91.438233,29.586321,hotel,4.3,3790
Lunar Plaza,The Metropolitan Museum of Art,New York,USA,-91.437024,29.584347,hotel,4.0,593
Crystal Spa,The Metropolitan Museum of Art,New York,USA,-91.438219,29.586118,hotel,3.8,765
Sunset Inn,The Metropolitan Museum of Art,New York,USA,-91.44003,29.583853,hotel,3.5,3790
Royal Suites,The Metropolitan Museum of Art,New York,USA,-91.4379,29.585038,hotel,3.9,2416
Aurora Suites,The Metropolitan Museum of Art,New York,USA,-91.437846,29.584974,hotel,4.9,4931
Green Bistro,The Metropolitan Museum of Art,New York,USA,-91.438013,29.586893,restaurant,4.5,2702
Sweet Plate,The Metropolitan Museum of Art,New York,USA,-91.440062,29.58422,restaurant,3.9,1309
Gourmet House,The Metropolitan Museum of Art,New York,USA,-91.438278,29.586455,restaurant,3.9,2870
Bella Bar & Grill,The Metropolitan Museum of Art,New York,USA,-91.439441,29.584768,restaurant,4.4,1843
Green Oven,The Metropolitan Museum of Art,New York,USA,-91.440336,29.583317,restaurant,4.5,155
Crispy Steakhouse,The Metropolitan Museum of Art,New York,USA,-91.440292,29.587006,restaurant,4.9,2803
Classic Lounge,The Metropolitan Museum of Art,New York,USA,-91.437372,29.585463,restaurant,4.4,1861
Crispy Room,The Metropolitan Museum of Art,New York,USA,-91.436993,29.583884,restaurant,4.6,2064
Green Oven,The Metropolitan Museum of Art,New York,USA,-91.436782,29.585038,restaurant,4.2,478
Modern Eatery,The Metropolitan Museum of Art,New York,USA,-91.437227,29.584477,restaurant,4.6,1690
Vintage Plate,The Metropolitan Museum of Art,New York,USA,-91.437404,29.585358,restaurant,4.2,1374
Cozy Spoon,The Metropolitan Museum of Art,New York,USA,-91.440194,29.586248,restaurant,4.6,2272
Grand Central Terminal,Grand Central Terminal,New York,USA,-92.921266,28.616988,place,4.8,336439
Royal Suites,Grand Central Terminal,New York,USA,-92.92024,28.61749,hotel,3.9,1173
Heritage Retreat,Grand Central Terminal,New York,USA,-92.919555,28.616741,hotel,3.7,2060
Grand Haven,Grand Central Terminal,New York,USA,-92.920427,28.616231,hotel,4.1,1940
Pinnacle Resort,Grand Central Terminal,New York,USA,-92.919297,28.61864,hotel,4.5,1361
Whispering Manor,Grand Central Terminal,New York,USA,-92.921272,28.617855,hotel,3.9,4052
Velvet Inn,Grand Central Terminal,New York,USA,-92.919345,28.615963,hotel,4.1,4263
Sunset Lodge,Grand Central Terminal,New York,USA,-92.920281,28.615534,hotel,4.7,3499
Silver Villa,Grand Central Terminal,New York,USA,-92.921906,28.618139,hotel,3.5,2545
Aurora Retreat,Grand Central Terminal,New York,USA,-92.919916,28.617308,hotel,4.8,3758
Velvet Chateau,Grand Central Terminal,New York,USA,-92.921112,28.616369,hotel,4.3,3830
Heritage Suites,Grand Central Terminal,New York,USA,-92.919534,28.618467,hotel,4.4,2013
Pearl Manor,Grand Central Terminal,New York,USA,-92.919842,28.616632,hotel,4.2,3223
Prime Cafe,Grand Central Terminal,New York,USA,-92.921722,28.617643,restaurant,4.4,201
Little Bistro,Grand Central Terminal,New York,USA,-92.922761,28.61885,restaurant,4.8,1853
The Rustic Cafe,Grand Central Terminal,New York,USA,-92.922867,28.61863,restaurant,4.3,2731
Bella Oven,Grand Central Terminal,New York,USA,-92.919386,28.615288,restaurant,4.5,1678
Signature Brasserie,Grand Central Terminal,New York,USA,-92.920666,28.618395,restaurant,4.3,1347
Modern Brasserie,Grand Central Terminal,New York,USA,-92.920759,28.618538,restaurant,3.8,330
Gourmet Tavern,Grand Central Terminal,New York,USA,-92.922327,28.617726,restaurant,4.7,1827
Spicy House,Grand Central Terminal,New York,USA,-92.919352,28.61803,restaurant,4.0,1276
Savory Eatery,Grand Central Terminal,New York,USA,-92.919652,28.615172,restaurant,4.2,1814
Crispy Diner,Grand Central Terminal,New York,USA,-92.922684,28.617113,restaurant,4.0,373
Signature Tavern,Grand Central Terminal,New York,USA,-92.920828,28.616519,restaurant,4.4,2438
Bella House,Grand Central Terminal,New York,USA,-92.922693,28.616833,restaurant,4.1,88
High Line,High Line,New York,USA,-91.173537,30.261185,place,4.6,296574
Sapphire Palace,High Line,New York,USA,-91.174905,30.260952,hotel,3.9,3575
Diamond Suites,High Line,New York,USA,-91.172776,30.261012,hotel,5.0,4058
Sapphire Palace,High Line,New York,USA,-91.17511,30.260711,hotel,3.9,2518
Crest Lodge,High Line,New York,USA,-91.175449,30.262505,hotel,3.5,501
Diamond Chateau,High Line,New York,USA,-91.171895,30.262166,hotel,4.7,2986
Silver Spa,High Line,New York,USA,-91.174661,30.259946,hotel,4.6,1220
Tranquil Hotel,High Line,New York,USA,-91.173024,30.262799,hotel,4.0,3711
Golden Resort,High Line,New York,USA,-91.175404,30.260645,hotel,4.9,2776
Golden Chateau,High Line,New York,USA,-91.172547,30.259888,hotel,4.3,3097
Majestic Lodge,High Line,New York,USA,-91.173414,30.262839,hotel,4.9,4047
Pearl Chateau,High Line,New York,USA,-91.171668,30.260366,hotel,3.7,716
Aurora Manor,High Line,New York,USA,-91.174974,30.263051,hotel,4.5,3355
Red Plate,High Line,New York,USA,-91.171668,30.262403,restaurant,4.7,107
Red Kitchen,High Line,New York,USA,-91.174479,30.259679,restaurant,4.5,2665
Hidden Lounge,High Line,New York,USA,-91.171776,30.259618,restaurant,3.8,2349
Prime Plate,High Line,New York,USA,-91.174225,30.261625,restaurant,4.6,1951
Green Bistro,High Line,New York,USA,-91.1719,30.260394,restaurant,4.0,202
Spicy Tavern,High Line,New York,USA,-91.17432,30.261156,restaurant,4.9,605
Vibrant Room,High Line,New York,USA,-91.173983,30.260669,restaurant,4.5,682
Modern Cantina,High Line,New York,USA,-91.171995,30.261805,restaurant,4.3,1195
Vintage House,High Line,New York,USA,-91.175406,30.260667,restaurant,4.9,1535
Vibrant Bite,High Line,New York,USA,-91.17514,30.261928,restaurant,3.9,1180
Vintage Plate,High Line,New York,USA,-91.174778,30.259674,restaurant,4.6,2678
Savory Oven,High Line,New York,USA,-91.172979,30.263069,restaurant,4.1,565
Niagara Falls State Park,Niagara Falls State Park,New York,USA,-91.621259,29.220994,place,4.9,300564
Emerald Boutique,Niagara Falls State Park,New York,USA,-91.62243,29.219858,hotel,4.7,4982
Golden Inn,Niagara Falls State Park,New York,USA,-91.623247,29.222428,hotel,4.3,1529
Golden Hotel,Niagara Falls State Park,New York,USA,-91.622819,29.22246,hotel,4.0,2049
Silver Hotel,Niagara Falls State Park,New York,USA,-91.620903,29.219058,hotel,3.7,3548
Oasis Retreat,Niagara Falls State Park,New York,USA,-91.621154,29.221977,hotel,4.7,4304
Emerald Palace,Niagara Falls State Park,New York,USA,-91.620884,29.220802,hotel,3.6,4371
Grand Hotel,Niagara Falls State Park,New York,USA,-91.622052,29.221568,hotel,5.0,3390
Heritage Residences,Niagara Falls State Park,New York,USA,-91.621554,29.219426,hotel,4.2,761
Golden Lodge,Niagara Falls State Park,New York,USA,-91.62197,29.219588,hotel,4.4,4895
Solar Haven,Niagara Falls State Park,New York,USA,-91.621065,29.220295,hotel,3.9,4241
Heritage Resort,Niagara Falls State Park,New York,USA,-91.620837,29.219391,hotel,4.8,4616
Pinnacle Residences,Niagara Falls State Park,New York,USA,-91.620375,29.219854,hotel,3.8,2876
Spicy Oven,Niagara Falls State Park,New York,USA,-91.619949,29.220589,restaurant,4.3,2774
Signature Lounge,Niagara Falls State Park,New York,USA,-91.622239,29.222809,restaurant,3.9,399
Red Cafe,Niagara Falls State Park,New York,USA,-91.622886,29.219381,restaurant,4.5,2452
Signature Bistro,Niagara Falls State Park,New York,USA,-91.619432,29.221241,restaurant,4.3,2775
Savory Eatery,Niagara Falls State Park,New York,USA,-91.619494,29.220686,restaurant,4.5,1490
Sweet Lounge,Niagara Falls State Park,New York,USA,-91.622844,29.221024,restaurant,4.1,493
Spicy Kitchen,Niagara Falls State Park,New York,USA,-91.621858,29.221219,restaurant,4.5,1807
Mellow Cantina,Niagara Falls State Park,New York,USA,-91.619878,29.222893,restaurant,4.6,2330
Bella Spoon,Niagara Falls State Park,New York,USA,-91.623154,29.222711,restaurant,4.0,2928
Red Spoon,Niagara Falls State Park,New York,USA,-91.620209,29.222681,restaurant,4.0,636
Sweet Spoon,Niagara Falls State Park,New York,USA,-91.620994,29.220598,restaurant,3.9,2222
Little Diner,Niagara Falls State Park,New York,USA,-91.622398,29.220674,restaurant,4.2,1378
One World Observatory,One World Observatory,New York,USA,-91.661829,30.670546,place,4.5,37582
Royal Spa,One World Observatory,New York,USA,-91.663206,30.671564,hotel,3.6,3729
Pinnacle Plaza,One World Observatory,New York,USA,-91.661181,30.670489,hotel,3.9,4297
Diamond Spa,One World Observatory,New York,USA,-91.663373,30.670266,hotel,4.5,4086
Emerald Plaza,One World Observatory,New York,USA,-91.661721,30.66978,hotel,5.0,548
Crystal Chateau,One World Observatory,New York,USA,-91.663798,30.669752,hotel,3.7,2193
Oasis Manor,One World Observatory,New York,USA,-91.662671,30.669026,hotel,4.1,1158
Whispering Haven,One World Observatory,New York,USA,-91.662308,30.671361,hotel,4.8,3001
Royal Plaza,One World Observatory,New York,USA,-91.66354,30.671993,hotel,3.5,737
Lunar Plaza,One World Observatory,New York,USA,-91.66038,30.670849,hotel,4.6,3521
Pearl Inn,One World Observatory,New York,USA,-91.662671,30.670166,hotel,4.7,3869
Sunset Plaza,One World Observatory,New York,USA,-91.660501,30.672225,hotel,4.8,2093
Sunset Plaza,One World Observatory,New York,USA,-91.662086,30.670148,hotel,4.8,2881
Golden Bar & Grill,One World Observatory,New York,USA,-91.662942,30.671663,restaurant,4.6,2223
Red Bite,One World Observatory,New York,USA,-91.661789,30.67217,restaurant,4.7,2693
Sweet Kitchen,One World Observatory,New York,USA,-91.660569,30.669491,restaurant,4.0,2517
Golden Diner,One World Observatory,New York,USA,-91.663217,30.671583,restaurant,4.9,2622
Crispy House,One World Observatory,New York,USA,-91.661852,30.671564,restaurant,4.6,2362
Little Oven,One World Observatory,New York,USA,-91.661257,30.672492,restaurant,4.0,329
Bella Steakhouse,One World Observatory,New York,USA,-91.661953,30.671072,restaurant,3.9,2128
Savory Fork,One World Observatory,New York,USA,-91.663532,30.670393,restaurant,4.2,1225
Golden Cantina,One World Observatory,New York,USA,-91.663522,30.672003,restaurant,4.5,1624
Savory House,One World Observatory,New York,USA,-91.661978,30.670764,restaurant,4.9,2391
Modern Bar & Grill,One World Observatory,New York,USA,-91.661221,30.669832,restaurant,4.0,303
Little Plate,One World Observatory,New York,USA,-91.662027,30.67179,restaurant,4.4,756
9/11 Memorial,9/11 Memorial,New York,USA,-94.612603,31.230659,place,5.0,284762
Sapphire Residences,9/11 Memorial,New York,USA,-94.612512,31.229294,hotel,3.9,3448
Royal Chateau,9/11 Memorial,New York,USA,-94.611505,31.231374,hotel,4.4,2841
Aurora Plaza,9/11 Memorial,New York,USA,-94.614339,31.229037,hotel,3.9,1331
Golden Residences,9/11 Memorial,New York,USA,-94.613269,31.23099,hotel,4.0,3310
Sunset Lodge,9/11 Memorial,New York,USA,-94.614087,31.231494,hotel,4.3,2790
Prestige Spa,9/11 Memorial,New York,USA,-94.61135,31.231339,hotel,4.9,865
Sapphire Hotel,9/11 Memorial,New York,USA,-94.612019,31.230353,hotel,4.0,1576
Oasis Suites,9/11 Memorial,New York,USA,-94.610798,31.230026,hotel,3.8,1226
Ocean Haven,9/11 Memorial,New York,USA,-94.613983,31.229842,hotel,4.7,4413
Solar Inn,9/11 Memorial,New York,USA,-94.614452,31.230006,hotel,4.4,1363
Solar Chateau,9/11 Memorial,New York,USA,-94.613954,31.231984,hotel,4.9,3685
Prestige Suites,9/11 Memorial,New York,USA,-94.614428,31.230116,hotel,5.0,2434
Hidden Brasserie,9/11 Memorial,New York,USA,-94.611593,31.231794,restaurant,4.1,1971
Signature Steakhouse,9/11 Memorial,New York,USA,-94.610987,31.229435,restaurant,5.0,1941
Cozy Bar & Grill,9/11 Memorial,New York,USA,-94.611525,31.231771,restaurant,4.3,713
Sweet Kitchen,9/11 Memorial,New York,USA,-94.611335,31.231864,restaurant,3.9,2018
Spicy Bar & Grill,9/11 Memorial,New York,USA,-94.611106,31.230877,restaurant,4.8,1217
Vintage Bar & Grill,9/11 Memorial,New York,USA,-94.614267,31.2293,restaurant,4.0,1841
Vintage Bite,9/11 Memorial,New York,USA,-94.614236,31.232301,restaurant,4.9,1749
Hidden Table,9/11 Memorial,New York,USA,-94.61439,31.230667,restaurant,5.0,1585
Spicy Oven,9/11 Memorial,New York,USA,-94.613705,31.229934,restaurant,4.7,613
Modern Cafe,9/11 Memorial,New York,USA,-94.61445,31.232328,restaurant,4.7,1971
Golden Spoon,9/11 Memorial,New York,USA,-94.612808,31.22868,restaurant,4.1,662
Cozy Room,9/11 Memorial,New York,USA,-94.612408,31.231568,restaurant,3.9,1230
Bronx Zoo,Bronx Zoo,New York,USA,-93.81861,28.887565,place,4.6,344994
Ocean Villa,Bronx Zoo,New York,USA,-93.817435,28.887394,hotel,4.9,4988
Lunar Suites,Bronx Zoo,New York,USA,-93.818466,28.888093,hotel,4.6,2486
Emerald Palace,Bronx Zoo,New York,USA,-93.818893,28.888025,hotel,4.1,801
Whispering Haven,Bronx Zoo,New York,USA,-93.818516,28.887008,hotel,4.3,4258
Oasis Hotel,Bronx Zoo,New York,USA,-93.818394,28.887127,hotel,4.5,3158
Sunset Boutique,Bronx Zoo,New York,USA,-93.819596,28.88563,hotel,3.9,949
Pearl Inn,Bronx Zoo,New York,USA,-93.817524,28.888506,hotel,3.6,4572
Aurora Retreat,Bronx Zoo,New York,USA,-93.819256,28.888137,hotel,5.0,4020
Sunset Manor,Bronx Zoo,New York,USA,-93.818083,28.888811,hotel,4.7,3849
Crystal Residences,Bronx Zoo,New York,USA,-93.820462,28.886372,hotel,3.6,2640
Velvet Retreat,Bronx Zoo,New York,USA,-93.818549,28.889522,hotel,3.9,1665
Royal Villa,Bronx Zoo,New York,USA,-93.819466,28.889014,hotel,4.5,2338
Blue House,Bronx Zoo,New York,USA,-93.820112,28.887038,restaurant,4.9,1633
Modern Bite,Bronx Zoo,New York,USA,-93.819254,28.886313,restaurant,4.9,2176
Green Plate,Bronx Zoo,New York,USA,-93.819543,28.885896,restaurant,4.3,789
Golden Oven,Bronx Zoo,New York,USA,-93.818428,28.88685,restaurant,4.6,1305
Classic House,Bronx Zoo,New York,USA,-93.818827,28.888436,restaurant,4.2,223
Mellow Room,Bronx Zoo,New York,USA,-93.817703,28.889212,restaurant,4.1,284
Red Bar & Grill,Bronx Zoo,New York,USA,-93.82031,28.888116,restaurant,4.8,2832
Mellow House,Bronx Zoo,New York,USA,-93.81997,28.88569,restaurant,3.8,325
Red Table,Bronx Zoo,New York,USA,-93.819666,28.888146,restaurant,4.9,182
Red Bite,Bronx Zoo,New York,USA,-93.81819,28.888282,restaurant,4.3,364
Blue Oven,Bronx Zoo,New York,USA,-93.818315,28.887683,restaurant,4.6,1072
Classic Lounge,Bronx Zoo,New York,USA,-93.816768,28.885669,restaurant,4.4,2350
Golden Gate Bridge,Golden Gate Bridge,California,USA,-100.299673,41.257713,place,4.8,373845
Ocean Inn,Golden Gate Bridge,California,USA,-100.298007,41.257678,hotel,4.8,3803
Sunset Chateau,Golden Gate Bridge,California,USA,-100.300982,41.258567,hotel,4.5,2718
Velvet Haven,Golden Gate Bridge,California,USA,-100.299001,41.258552,hotel,3.9,2557
Heritage Spa,Golden Gate Bridge,California,USA,-100.298267,41.258561,hotel,3.8,3061
Crystal Chateau,Golden Gate Bridge,California,USA,-100.299638,41.256199,hotel,3.7,4147
Sapphire Retreat,Golden Gate Bridge,California,USA,-100.301568,41.25793,hotel,4.7,4619
Sunset Lodge,Golden Gate Bridge,California,USA,-100.301154,41.25925,hotel,4.1,4021
Lunar Resort,Golden Gate Bridge,California,USA,-100.29957,41.25879,hotel,3.7,2697
Aurora Haven,Golden Gate Bridge,California,USA,-100.299103,41.257513,hotel,4.0,4616
